epoch,acc,loss,val_acc,val_loss
0,0.48037200876216396,1.4639809342602286,0.4845360824783787,1.560215891553486
1,0.5911038350177005,1.1697067512672454,0.6297018668235727,1.1077273711084688
2,0.6368734543153852,1.0459411782428445,0.6460016717831715,1.0314045719663292
3,0.6621965237714192,0.9729115219901666,0.6648091390525508,0.970415943410942
4,0.6767215855758829,0.9252379485617329,0.6919754806518821,0.8788344557818745
5,0.6929185969535824,0.8816571802242393,0.6636946224658129,0.9358142908983291
6,0.7024974746429051,0.8533460762255859,0.685567010325886,0.8744598692524364
7,0.7170922010290971,0.814055656943726,0.7254109779966014,0.7942378115076048
8,0.7228046953688512,0.795813043076249,0.6992198384034,0.8737352859944014
9,0.7283778606136622,0.7713002572633816,0.7181666202367797,0.8336015030612983
10,0.7321049148475262,0.7597191162840019,0.7308442463164676,0.8026054665450433
11,0.7429029223911358,0.732310788773615,0.7354416272108121,0.778660267732641
12,0.7491030687365505,0.7167352520500614,0.7362775146363338,0.7576029086783923
13,0.7506008569073697,0.7056404105311231,0.7011702424115077,0.8835118984770861
14,0.7565223449279473,0.6939946533457779,0.7520200613067156,0.7294093455800641
15,0.7591347660991464,0.6820136277423748,0.6852883811729736,0.9107462064440651
16,0.7624438329360682,0.6779980333537209,0.7408748955306783,0.7406125598114558
17,0.7643944407801605,0.6628909503356006,0.7557815547672345,0.705293889828265
18,0.7724058657335452,0.6491830057640917,0.7460295346893285,0.7198830942949501
19,0.7734856665074221,0.6438924890459092,0.7224853720031232,0.7527410094204571
20,0.7772127207620477,0.634619557146219,0.743800501540764,0.7676636720972494
21,0.7785711797611057,0.6228424833566568,0.7649763165310121,0.6830958166172924
22,0.7818454143009347,0.6171717045573656,0.7486765115714134,0.7261795571468839
23,0.7830297119287186,0.6110015173596006,0.7610755085147966,0.6957019414035481
24,0.7842140095565024,0.6037364014845423,0.7390638060824192,0.7282491165404533
25,0.7887422062622441,0.5963968218967389,0.766508776826359,0.6784226663200993
26,0.7909366400697196,0.5940099141121807,0.743103928670939,0.7205200888181205
27,0.7912501306480497,0.5899252359014373,0.7575926441905824,0.6917987307588116
28,0.7936187258122661,0.5782511208871177,0.7305656183011753,0.7918945470267964
29,0.7976244383626624,0.5695403761996417,0.7722206742908337,0.6714007496402004
30,0.8010728342737655,0.5603609489727728,0.7720813597143776,0.6817871195654179
31,0.7958479919313675,0.5652530661763773,0.7776539426107,0.6492986690038158
32,0.8044167334202369,0.5507734310037767,0.7616327667957098,0.7230589274544342
33,0.8028492807050605,0.5528831207236093,0.776121482323657,0.6569635694689258
34,0.8062628444374125,0.5399870727830324,0.7626079688101434,0.6956538817915089
35,0.8077606325251849,0.5412770483248734,0.77458902202831,0.6699472070902827
36,0.8102337246222026,0.5322917284331538,0.7596823627792981,0.7069379834286447
37,0.811940506467617,0.5290548951985665,0.7679019225410978,0.6796130204340248
38,0.8136124560014054,0.5239012947363716,0.7764001114516579,0.6710501448561402
39,0.8118708419232596,0.5177836783806181,0.7549456673168013,0.6978876567145981
40,0.8162597094759256,0.5149232333965189,0.7752855948732238,0.6859789712411111
